Body
Date,Weight,BMI,Fat
"2017-04-01","175.9","25.96","0"
"2017-04-02","175.9","25.96","0"
"2017-04-03","175.9","25.96","0"
"2017-04-04","175.9","25.96","0"
"2017-04-05","175.9","25.96","0"
"2017-04-06","175.9","25.96","0"
"2017-04-07","175.9","25.96","0"
"2017-04-08","175.9","25.96","0"
"2017-04-09","175.9","25.96","0"
"2017-04-10","175.9","25.96","0"
"2017-04-11","175.9","25.96","0"
"2017-04-12","175.9","25.96","0"
"2017-04-13","175.9","25.96","0"
"2017-04-14","175.9","25.96","0"
"2017-04-15","175.9","25.96","0"
"2017-04-16","175.9","25.96","0"
"2017-04-17","175.9","25.96","0"
"2017-04-18","175.9","25.96","0"
"2017-04-19","175.9","25.96","0"
"2017-04-20","175.9","25.96","0"
"2017-04-21","175.9","25.96","0"
"2017-04-22","175.9","25.96","0"
"2017-04-23","175.9","25.96","0"
"2017-04-24","175.9","25.96","0"
"2017-04-25","175.9","25.96","0"
"2017-04-26","175.9","25.96","0"
"2017-04-27","175.9","25.96","0"
"2017-04-28","175.9","25.96","0"
"2017-04-29","175.9","25.96","0"
"2017-04-30","175.9","25.96","0"

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-04-01","2,852","7,555","2.99","10","1,178","262","0","0","1,180"
"2017-04-02","2,447","4,354","1.7","10","1,267","173","0","0","767"
"2017-04-03","3,256","13,497","5.5","9","1,103","250","56","31","1,798"
"2017-04-04","2,823","12,217","5.24","18","1,225","164","16","35","1,233"
"2017-04-05","3,316","14,435","6.09","22","1,146","168","44","82","1,830"
"2017-04-06","1,784","0","0","0","1,440","0","0","0","0"
"2017-04-07","3,045","13,937","6.05","28","1,201","137","28","74","1,435"
"2017-04-08","2,585","6,836","2.9","13","1,274","131","6","29","881"
"2017-04-09","2,488","5,458","2.19","18","1,275","142","11","12","865"
"2017-04-10","3,142","12,461","5.38","36","1,181","171","45","43","1,612"
"2017-04-11","3,496","16,755","7.14","29","1,111","166","79","84","2,039"
"2017-04-12","3,416","12,818","5.39","25","1,104","184","82","70","1,960"
"2017-04-13","3,404","15,549","6.55","44","1,129","152","71","88","1,925"
"2017-04-14","3,111","13,194","5.52","23","1,144","253","13","30","1,581"
"2017-04-15","2,897","10,403","4.06","22","1,172","204","61","3","1,324"
"2017-04-16","2,490","5,634","2.29","19","1,286","132","15","7","793"
"2017-04-17","2,997","14,116","6.09","22","1,183","187","31","39","1,436"
"2017-04-18","3,238","12,885","5.3","25","1,140","177","78","45","1,761"
"2017-04-19","3,399","15,156","6.62","28","1,161","111","52","116","1,898"
"2017-04-20","2,708","10,694","4.56","14","1,238","166","19","17","1,092"
"2017-04-21","3,512","16,361","7.2","32","1,143","150","37","110","2,033"
"2017-04-22","2,549","4,270","1.62","4","1,226","214","0","0","879"
"2017-04-23","2,355","4,910","1.88","9","1,285","155","0","0","712"
"2017-04-24","3,225","15,080","6.31","28","1,134","217","56","33","1,758"
"2017-04-25","3,583","18,531","8.12","21","1,125","151","40","124","2,135"
"2017-04-26","3,337","13,213","5.59","23","1,142","169","62","67","1,866"
"2017-04-27","3,419","15,739","6.75","24","1,152","145","50","93","1,934"
"2017-04-28","3,370","14,236","6.16","30","1,111","242","33","54","1,834"
"2017-04-29","2,498","5,706","2.34","14","1,262","178","0","0","849"
"2017-04-30","3,200","10,009","3.95","15","1,171","167","42","60","1,651"

