Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2016-07-01,"3,218","17,733",7.58,19,"1,119",218,46,57,"1,779"
2016-07-02,"3,819","24,317",10.3,32,968,330,67,75,"2,542"
2016-07-03,"3,869","28,954",12.63,36,"1,020",192,104,124,"2,555"
2016-07-04,"2,689","9,082",3.78,14,"1,218",178,19,25,"1,104"
2016-07-05,"2,740","10,903",4.52,13,"1,201",209,13,17,"1,220"
2016-07-06,"2,989","11,726",4.93,18,"1,167",203,40,30,"1,486"
2016-07-07,"2,511","7,426",3.24,15,"1,271",119,39,11,930
2016-07-08,"3,204","19,516",8.47,24,"1,149",156,59,76,"1,704"
2016-07-09,"3,067","14,583",6.17,12,"1,138",191,47,64,"1,546"
2016-07-10,"3,364","19,076",8.24,26,"1,111",189,76,64,"1,924"
2016-07-11,"3,487","17,192",7.48,40,"1,105",229,50,56,"2,024"
2016-07-12,"2,899","11,575",4.88,20,"1,196",189,19,36,"1,342"
2016-07-13,"2,954","11,533",4.8,10,"1,178",178,42,42,"1,414"
2016-07-14,"2,896","13,711",5.95,14,"1,195",189,18,38,"1,357"
2016-07-15,"2,757","8,374",3.48,12,"1,213",211,10,6,"1,160"
2016-07-16,"2,816","10,345",4.33,17,"1,196",193,20,31,"1,286"
2016-07-17,"3,353","14,150",5.69,38,"1,068",224,103,45,"2,018"
2016-07-18,"2,763","12,579",5.38,14,"1,216",156,22,46,"1,223"
2016-07-19,"2,738","10,344",4.2,10,"1,191",215,20,14,"1,230"
2016-07-20,"3,725","18,583",9.31,42,"1,110",200,34,96,"2,286"
2016-07-21,"2,463","8,070",3.38,3,"1,263",144,13,20,878
2016-07-22,"3,030","11,851",4.91,7,"1,129",263,19,29,"1,517"
2016-07-23,"2,909","9,495",3.94,13,"1,187",188,28,37,"1,283"
2016-07-24,"3,009","11,118",4.32,55,"1,149",188,66,37,"1,563"
2016-07-25,"2,894","12,013",5.01,13,"1,194",171,26,49,"1,373"
2016-07-26,"2,551","7,440",3.08,15,"1,258",138,26,18,963
2016-07-27,"3,111","13,031",5.45,8,"1,119",245,41,35,"1,649"
2016-07-28,"2,868","10,865",4.52,8,"1,171",213,24,32,"1,366"
2016-07-29,"2,944","11,523",4.91,18,"1,186",204,15,35,"1,378"
2016-07-30,"1,751",888,0.4,10,"1,440",0,0,0,0
2016-07-31,"1,752","3,935",1.54,5,"1,440",0,0,0,0
