"Date","Calories.Burned","Steps","Distance","Floors","Minutes.Sedentary","Minutes.Lightly.Active","Minutes.Fairly.Active","Minutes.Very.Active","Activity.Calories","Week.Day"
"2014-03-21","2,807","8,945",4.04,0,"1,130",192,98,20,"1,294","Friday"
"2014-03-22","2,421","4,320",1.95,0,"1,246",144,43,7,"751","Saturday"
"2014-03-23","2,342","3,874",1.75,0,"1,276",110,53,1,"637","Sunday"
"2014-03-24","3,002","12,411",5.66,0,"1,195",114,58,73,"1,350","Monday"
"2014-03-25","2,670","7,355",3.35,0,"1,220",137,56,27,"987","Tuesday"
"2014-03-26","3,424","16,741",7.6,0,"1,054",197,111,78,"1,948","Wednesday"
"2014-03-27","3,277","14,462",6.6,0,"924",207,104,63,"1,787","Thursday"
"2014-03-28","2,621","7,934",3.6,0,"1,228",115,67,30,"992","Friday"
"2014-03-29","2,066","2,323",1.05,0,"1,374",37,23,6,"299","Saturday"
"2014-03-30","1,822","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-03-31","1,822","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-04-01","1,822","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-04-02","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-04-03","2,051","1,834",0.83,0,"1,385",32,16,7,"247","Thursday"
"2014-04-04","3,257","16,614",7.52,0,"1,147",101,106,86,"1,681","Friday"
"2014-04-05","3,340","17,155",7.76,0,"1,106",124,124,86,"1,819","Saturday"
"2014-04-06","2,541","6,599",2.98,0,"1,246",110,63,21,"868","Sunday"
"2014-04-07","2,619","7,094",3.2,0,"1,214",135,75,16,"972","Monday"
"2014-04-08","1,854","176",0.08,0,"1,427",12,1,0,"45","Tuesday"
"2014-04-09","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-04-10","1,821","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-04-11","2,955","10,542",4.76,0,"1,100",202,110,28,"1,468","Friday"
"2014-04-12","2,682","8,296",3.75,0,"1,226",101,91,22,"1,000","Saturday"
"2014-04-13","2,495","4,723",2.13,0,"1,211",170,54,5,"863","Sunday"
"2014-04-14","2,679","8,465",3.97,0,"1,248",104,44,44,"1,000","Monday"
"2014-04-15","2,746","8,849",4.16,0,"1,220",113,73,34,"1,078","Tuesday"
"2014-04-16","2,135","2,901",1.31,0,"1,340",60,36,4,"415","Wednesday"
"2014-04-17","1,878","522",0.24,0,"1,423",11,4,2,"73","Thursday"
"2014-04-18","1,821","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-04-19","1,821","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-04-20","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-04-21","1,821","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-04-22","1,821","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-04-23","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-04-24","1,821","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-04-25","1,821","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-04-26","1,821","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-04-27","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-04-28","1,821","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-04-29","1,821","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-04-30","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-05-01","1,821","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-05-02","1,821","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-05-03","1,821","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-05-04","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-05-05","1,821","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-05-06","1,821","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-05-07","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-05-08","1,821","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-05-09","1,821","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-05-10","1,821","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-05-11","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-05-12","1,821","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-05-13","1,821","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-05-14","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-05-15","1,821","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-05-16","1,820","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-05-17","1,821","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-05-18","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-05-19","1,821","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-05-20","1,820","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-05-21","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-05-22","2,143","2,462",1.11,0,"1,339",65,33,3,"396","Thursday"
"2014-05-23","3,154","12,448",5.64,0,"952",216,139,28,"1,673","Friday"
"2014-05-24","2,717","9,830",4.44,0,"1,204",82,148,6,"1,109","Saturday"
"2014-05-25","2,754","8,344",3.77,0,"1,163",152,110,15,"1,168","Sunday"
"2014-05-26","2,447","5,879",2.66,0,"1,269",95,60,16,"764","Monday"
"2014-05-27","1,965","1,415",0.64,0,"1,405",19,11,5,"169","Tuesday"
"2014-05-28","1,820","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-05-29","1,821","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-05-30","1,821","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-05-31","1,821","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-06-01","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-06-02","1,820","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-06-03","1,821","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-06-04","1,820","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-06-05","1,821","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-06-06","1,820","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-06-07","1,821","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-06-08","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-06-09","1,821","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-06-10","1,821","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-06-11","1,820","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-06-12","1,821","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-06-13","1,820","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-06-14","1,821","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-06-15","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-06-16","1,821","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-06-17","1,821","0",0,0,"1,440",0,0,0,"0","Tuesday"
