Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2016-09-01,"2,935","11,752",4.97,16,"1,164",241,17,18,"1,426"
2016-09-02,"3,524","18,813",7.9,35,"1,029",355,30,26,"2,138"
2016-09-03,"3,285","19,260",8.05,23,"1,087",233,71,49,"1,909"
2016-09-04,"2,777","11,318",4.72,19,"1,173",233,12,22,"1,286"
2016-09-05,"2,167","4,449",1.85,7,"1,341",79,7,13,490
2016-09-06,"2,390","7,574",3.24,8,"1,282",146,1,11,782
2016-09-07,"3,174","14,253",6.48,22,"1,148",213,17,62,"1,697"
2016-09-08,"2,944","12,278",6.4,26,"1,242",126,18,54,"1,337"
2016-09-09,"3,161","14,860",7.43,21,"1,189",161,24,66,"1,600"
2016-09-10,"2,428","4,797",1.86,6,"1,240",200,0,0,787
2016-09-11,"2,776","10,139",4.28,22,"1,213",159,37,31,"1,190"
2016-09-12,"3,010","11,820",5.14,33,"1,166",199,32,43,"1,527"
2016-09-13,"2,750","11,852",5.32,14,"1,209",185,13,33,"1,232"
2016-09-14,"2,814","12,769",5.9,21,"1,225",153,17,45,"1,257"
2016-09-15,"3,125","13,464",5.87,14,"1,153",206,30,51,"1,629"
2016-09-16,"2,695","9,405",3.94,7,"1,189",228,3,20,"1,163"
2016-09-17,"2,826","9,100",4.61,20,"1,230",147,22,41,"1,260"
2016-09-18,"2,187","4,315",1.78,16,"1,337",84,17,2,547
2016-09-19,"2,983","12,145",5.79,14,"1,198",180,25,37,"1,448"
2016-09-20,"2,462","6,908",2.87,5,"1,261",167,3,9,852
2016-09-21,"2,872","9,522",3.9,14,"1,171",218,17,34,"1,384"
2016-09-22,"3,171","15,103",6.31,13,"1,083",304,19,34,"1,727"
2016-09-23,"2,600","9,217",3.97,9,"1,255",151,13,21,"1,005"
2016-09-24,"2,394","4,472",2.27,17,"1,328",60,16,36,709
2016-09-25,"2,071","2,065",0.82,3,"1,352",88,0,0,379
2016-09-26,"2,995","13,236",6.44,32,"1,194",173,18,55,"1,479"
2016-09-27,"3,002","11,035",4.5,9,"1,119",276,17,28,"1,529"
2016-09-28,"2,943","11,614",5.55,21,"1,189",200,15,36,"1,433"
2016-09-29,"2,572","9,407",3.98,9,"1,260",125,23,32,950
2016-09-30,"2,721","9,374",3.92,13,"1,218",186,15,21,"1,082"
