Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2016-03-01,"1,726",0,0,0,"1,440",0,0,0,0
2016-03-02,"2,305","4,421",1.79,40,"1,322",72,28,18,711
2016-03-03,"2,065","2,534",0.85,12,"1,352",73,13,2,432
2016-03-04,"1,720",0,0,0,"1,440",0,0,0,0
2016-03-05,"1,720",0,0,0,"1,440",0,0,0,0
2016-03-06,"1,720",0,0,0,"1,440",0,0,0,0
2016-03-07,"2,064","2,461",0.92,16,"1,364",62,14,0,417
2016-03-08,"2,166","3,576",1.39,31,"1,338",72,27,3,545
2016-03-09,"1,736",0,0,0,"1,440",0,0,0,0
2016-03-10,"2,401","6,412",2.95,62,"1,328",36,30,46,791
2016-03-11,"1,738",0,0,0,"1,440",0,0,0,0
2016-03-12,"1,742",8,0,0,"1,439",1,0,0,3
2016-03-13,"1,739",7,0,0,"1,440",0,0,0,0
2016-03-14,"1,740",0,0,0,"1,440",0,0,0,0
2016-03-15,"1,740",0,0,0,"1,440",0,0,0,0
2016-03-16,"1,741",0,0,0,"1,440",0,0,0,0
2016-03-17,"1,740",0,0,0,"1,440",0,0,0,0
2016-03-18,"1,740",0,0,0,"1,440",0,0,0,0
2016-03-19,"2,240","4,584",1.95,35,"1,340",58,18,24,609
2016-03-20,"1,740",0,0,0,"1,440",0,0,0,0
2016-03-21,"2,095","3,125",1.45,30,"1,378",36,9,17,419
2016-03-22,"2,016","2,277",0.74,6,"1,371",50,19,0,346
2016-03-23,"2,232","4,435",2.12,52,"1,365",30,10,35,575
2016-03-24,"2,243","5,082",2.46,53,"1,366",19,21,34,584
2016-03-25,"1,739",0,0,0,"1,440",0,0,0,0
2016-03-26,"1,735",0,0,0,"1,440",0,0,0,0
2016-03-27,"1,931","1,772",0.8,1,"1,385",47,7,1,239
2016-03-28,"2,033","1,915",0.6,1,"1,365",52,21,2,382
2016-03-29,"2,172","3,770",1.63,35,"1,367",27,22,24,517
2016-03-30,"2,035","2,590",0.89,2,"1,372",53,10,5,364
2016-03-31,"2,042","2,489",0.8,2,"1,362",56,22,0,399
