Date,Workout Steps
2017-01-03,2857
2017-01-04,0
2017-01-09,2623
2017-01-10,3284
2017-01-11,2529
2017-01-12,4014
2017-01-13,0
2017-01-16,5009
2017-01-17,4506
2017-01-18,1409
2017-01-19,5012
2017-01-20,0
2017-01-23,3775
2017-01-24,3945
2017-01-25,2320
2017-01-26,2862
2017-01-30,3275
2017-01-31,3909
