Date,Workout Steps
2016-01-04,4760
2016-01-05,6304
2016-01-06,2881
2016-01-07,
2016-01-08,0
2016-01-11,5134
2016-01-12,5086
2016-01-13,2803
2016-01-14,0
2016-01-15,0
2016-01-18,3675
2016-01-19,3493
2016-01-20,341
2016-01-21,4803
2016-01-22,0
2016-01-25,0
2016-01-26,0
2016-01-27,0
2016-01-28,0
2016-01-29,0
